poliza_id,edad_conductor,sexo,estado_civil,nivel_estudios,ocupacion,zona_residencia,region,antiguedad_cliente_anios,ingreso_mensual_mxn,score_crediticio,prima_mensual_mxn,suma_asegurada_mxn,deducible_pct,historial_siniestros_3_anios,km_anuales,edad_vehiculo_anios,tipo_vehiculo,uso_vehiculo,segmento_marca,metodo_pago,canal_venta,tiene_gps,asistencia_vial,mantenimiento_al_dia,dias_hasta_renovacion,puntaje_riesgo_zona,numero_siniestros_12m,costo_esperado_anual_mxn,riesgo_alto,clase_costo
POL-00001,46,Femenino,Soltero,Posgrado,Independiente,Urbana,Sur,9.4,7038.0,613.0,472.0,140965.0,5,0,11526.0,9.0,Compacto,Particular,Economico,Mensual,Agente,Si,Si,Si,170,74.7,0,3321,0,Bajo
POL-00002,38,Masculino,Casado,Licenciatura,Estudiante,Suburbana,Centro,0.9,19655.0,565.0,1116.0,295797.0,5,2,17925.0,3.7,Sedan,Particular,Medio,Anual,Agente,No,No,Si,100,57.4,0,7196,0,Medio
POL-00003,48,Masculino,Divorciado,Licenciatura,Empleado,Urbana,Centro,0.1,16140.0,641.0,350.0,155918.0,10,0,11935.0,2.8,Compacto,Particular,Economico,Trimestral,Agente,No,No,Si,69,71.3,0,2046,0,Bajo
POL-00004,60,Femenino,Divorciado,Licenciatura,Empleado,Urbana,Sur,0.1,14954.0,570.0,519.0,148824.0,15,1,4986.0,2.0,Compacto,Particular,Economico,Anual,Online,Si,No,No,173,83.4,0,1379,0,Bajo
POL-00005,37,Femenino,Soltero,Preparatoria,Empleado,Urbana,Centro,3.9,27192.0,586.0,571.0,298860.0,3,2,14287.0,5.8,Pickup,Particular,Economico,Mensual,Agente,Si,Si,No,188,73.6,1,11787,1,Alto
POL-00006,37,Femenino,Casado,Preparatoria,Estudiante,Suburbana,Centro,4.3,40749.0,552.0,415.0,608077.0,5,0,8039.0,8.3,Compacto,Particular,Premium,Mensual,Online,No,Si,No,214,43.2,0,10026,0,Medio
POL-00007,61,Masculino,Soltero,Licenciatura,Independiente,Rural,Centro,1.5,20445.0,638.0,1883.0,345898.0,5,2,16624.0,7.8,Deportivo,Particular,Economico,Mensual,Agente,Si,No,Si,24,44.0,0,7441,0,Medio
POL-00008,50,Masculino,Viudo,Preparatoria,Estudiante,Urbana,Norte,1.5,24632.0,585.0,972.0,795379.0,5,1,8971.0,4.1,SUV,Particular,Premium,Anual,Agente,No,No,No,88,,0,14107,1,Alto
POL-00009,34,Masculino,Viudo,Licenciatura,Independiente,Urbana,Occidente,1.7,23428.0,718.0,350.0,509714.0,10,0,12816.0,4.7,Sedan,Trabajo,Premium,Anual,Broker,No,Si,Si,130,81.5,0,7954,0,Medio
POL-00010,47,Masculino,Casado,Posgrado,Empleado,Urbana,Centro,4.6,22022.0,680.0,924.0,204218.0,10,2,16504.0,2.8,SUV,Particular,Economico,Mensual,Agente,No,Si,Si,195,75.0,0,1818,0,Bajo
POL-00011,34,Femenino,Casado,Licenciatura,Otro,Suburbana,Bajio,0.2,12084.0,645.0,1586.0,296085.0,5,1,14331.0,3.1,Sedan,Taxi/Plataforma,Medio,Mensual,Agente,Si,No,Si,318,66.3,0,7107,0,Medio
POL-00012,34,Femenino,Casado,Licenciatura,Empleado,Suburbana,Sur,10.6,40475.0,590.0,486.0,309613.0,5,0,16877.0,10.7,Sedan,Particular,Medio,Mensual,Agente,No,Si,Si,285,43.9,0,4582,0,Bajo
POL-00013,43,Femenino,Casado,Licenciatura,Estudiante,Rural,Norte,1.0,25878.0,679.0,350.0,224101.0,10,0,19242.0,1.5,SUV,Particular,Economico,Trimestral,Agente,Si,No,Si,224,50.8,1,5576,0,Medio
POL-00014,18,Femenino,Soltero,Licenciatura,Independiente,Urbana,Norte,25.0,27337.0,702.0,368.0,194744.0,5,0,9131.0,1.3,Sedan,Trabajo,Economico,Mensual,Agente,Si,Si,Si,348,54.1,0,1811,0,Bajo
POL-00015,18,Femenino,Casado,Preparatoria,,Rural,Norte,0.8,14118.0,661.0,350.0,251097.0,15,0,15146.0,3.4,Pickup,Particular,Economico,Trimestral,Agente,No,No,No,333,29.3,0,5824,0,Medio
POL-00016,33,Femenino,Casado,Secundaria,Otro,Urbana,Occidente,5.9,17090.0,770.0,350.0,312594.0,3,0,2500.0,12.9,Compacto,Particular,Medio,Mensual,Banco,No,Si,Si,340,61.8,0,4728,0,Bajo
POL-00017,27,Masculino,Casado,Preparatoria,Empleado,Suburbana,Centro,1.0,19969.0,,1713.0,385305.0,5,2,16860.0,5.4,SUV,Taxi/Plataforma,Medio,Mensual,Banco,Si,No,No,326,62.1,0,7938,0,Medio
