feature,importance
numerico__log_suma_asegurada,0.17656830995850364
numerico__numero_siniestros_12m,0.15962709612112636
ordinal__segmento_marca,0.11845906794307937
numerico__prima_mensual_mxn,0.07522559807733305
numerico__dias_hasta_renovacion,0.03478857606134263
numerico__log_ingreso_mensual,0.0343772344075097
numerico__puntaje_riesgo_zona,0.0340873444741049
numerico__km_totales,0.031204377458086827
numerico__antiguedad_cliente_anios,0.029270256916257703
numerico__km_anuales,0.028044168353192483
numerico__score_crediticio,0.027073520090867564
numerico__edad_conductor,0.026645344648630557
numerico__log_km_totales,0.026466671695463215
numerico__edad_vehiculo_anios,0.023848052886649384
numerico__historial_siniestros_3_anios,0.010814813183139994
ordinal__nivel_estudios,0.009626475761258038
nominal__tipo_vehiculo_Compacto,0.008597227763614795
numerico__deducible_pct,0.008180951412768995
nominal__canal_venta_Online,0.005637859112886085
binario__mantenimiento_al_dia,0.00519948184403973
nominal__canal_venta_Agente,0.004927305764968053
nominal__zona_residencia_Urbana,0.004832209397380728
nominal__region_Centro,0.004802326757063843
binario__asistencia_vial,0.0047365516985389475
nominal__ocupacion_Empleado,0.004617990541629029
nominal__tipo_vehiculo_SUV,0.004581528333804458
nominal__tipo_vehiculo_Pickup,0.004455337223629666
nominal__zona_residencia_Suburbana,0.004386301731508048
nominal__metodo_pago_Trimestral,0.004330550799246595
nominal__region_Occidente,0.00425263051413492
nominal__estado_civil_Soltero,0.004227783142643774
nominal__tipo_vehiculo_Sedan,0.004216476983406306
nominal__sexo_Masculino,0.004212945831847466
nominal__metodo_pago_Mensual,0.0038495415309259787
nominal__grupo_edad_conductor_36-50,0.0036883910259950126
binario__tiene_gps,0.0036505777309941132
nominal__ocupacion_Profesor,0.003579023812584396
nominal__sexo_Femenino,0.003524878148485299
nominal__grupo_edad_conductor_51-65,0.0034935885478815905
nominal__zona_residencia_Rural,0.0032560562027715606
nominal__ocupacion_Independiente,0.003119956566590868
nominal__estado_civil_Casado,0.0031161371362612494
nominal__metodo_pago_Anual,0.0029800269633524657
nominal__uso_vehiculo_Particular,0.002883595261094101
nominal__grupo_edad_conductor_26-35,0.0028739710700563803
nominal__tipo_vehiculo_Deportivo,0.00271115152604864
nominal__ocupacion_Otro,0.0026833927490629737
nominal__region_Sur,0.0023134357114635556
nominal__canal_venta_Banco,0.002270735540898363
nominal__canal_venta_Broker,0.0022565528150522026
nominal__region_Norte,0.002158998790023103
nominal__ocupacion_Estudiante,0.00208131197932887
nominal__uso_vehiculo_Trabajo,0.0019567658424094105
nominal__estado_civil_Divorciado,0.001860432411591076
nominal__uso_vehiculo_Taxi/Plataforma,0.001774156564169869
nominal__region_Bajio,0.0016089292686878801
nominal__grupo_edad_conductor_18-25,0.0013918170637396607
nominal__ocupacion_Empresario,0.0009734029673691367
nominal__grupo_edad_conductor_66+,0.0007450030958328826
nominal__estado_civil_Viudo,0.0005438393513364117
nominal__sexo_No especificado,0.0003319634363361693
